Date,days since detection,Delta,Other
4/18/21,0,1,39
4/19/21,1,1,71
4/20/21,2,0,74
4/21/21,3,0,70
4/22/21,4,0,46
4/23/21,5,0,45
4/24/21,6,0,31
4/25/21,7,0,12
4/26/21,8,0,40
4/27/21,9,0,39
4/28/21,10,0,26
4/29/21,11,0,12
4/30/21,12,0,16
5/1/21,13,0,11
5/2/21,14,0,9
5/3/21,15,1,27
5/4/21,16,0,14
5/5/21,17,1,15
5/6/21,18,0,17
5/7/21,19,1,14
5/8/21,20,1,9
5/9/21,21,0,10
5/10/21,22,0,12
5/11/21,23,1,13
5/12/21,24,0,5
5/13/21,25,1,6
5/14/21,26,0,11
5/15/21,27,0,7
5/16/21,28,0,5
5/17/21,29,0,7
5/18/21,30,0,1
5/19/21,31,0,6
5/20/21,32,0,6
5/21/21,33,0,1
5/22/21,34,0,6
5/23/21,35,1,3
5/24/21,36,1,7
5/25/21,37,1,2
5/26/21,38,0,4
5/27/21,39,1,5
5/28/21,40,0,3
5/29/21,41,0,3
5/30/21,42,0,3
5/31/21,43,0,1
6/1/21,44,0,2
6/2/21,45,0,2
6/3/21,46,0,1
6/4/21,47,0,3
6/5/21,48,0,0
6/6/21,49,0,5
6/7/21,50,0,1
6/8/21,51,0,3
6/9/21,52,0,1
6/10/21,53,0,1
6/11/21,54,0,2
6/12/21,55,0,0
6/13/21,56,0,0
6/14/21,57,0,3
6/15/21,58,3,3
6/16/21,59,1,2
6/17/21,60,0,1
6/18/21,61,0,0
6/19/21,62,1,0
6/20/21,63,0,0
6/21/21,64,3,1
6/22/21,65,0,1
6/23/21,66,1,2
6/24/21,67,0,0
6/25/21,68,3,2
6/26/21,69,2,2
6/27/21,70,1,0
6/28/21,71,3,2
6/29/21,72,1,1
6/30/21,73,2,1
7/1/21,74,2,1
7/2/21,75,1,0
7/3/21,76,2,2
7/4/21,77,2,2
7/5/21,78,4,1
7/6/21,79,5,4
7/7/21,80,6,3
7/8/21,81,5,1
7/9/21,82,7,1
7/10/21,83,2,3
7/11/21,84,1,0
7/12/21,85,5,1
7/13/21,86,10,3
7/14/21,87,11,1
7/15/21,88,11,6
7/16/21,89,19,2
7/17/21,90,10,3
7/18/21,91,12,3
7/19/21,92,25,2
7/20/21,93,25,0
7/21/21,94,36,1
7/22/21,95,31,3
7/23/21,96,23,1
7/24/21,97,20,3
7/25/21,98,17,2
7/26/21,99,35,3
7/27/21,100,36,2
7/28/21,101,42,1
7/29/21,102,52,2
7/30/21,103,39,4
7/31/21,104,46,3
8/1/21,105,30,0
8/2/21,106,44,2
8/3/21,107,69,1
8/4/21,108,57,2
8/5/21,109,48,1
8/6/21,110,64,1
8/7/21,111,56,1
8/8/21,112,44,0
8/9/21,113,11,0
8/10/21,114,96,0
8/11/21,115,79,0
8/12/21,116,97,2
8/13/21,117,56,0
8/14/21,118,25,0
8/15/21,119,14,0
8/16/21,120,0,0
8/17/21,121,24,1
8/18/21,122,67,1
8/19/21,123,72,0
8/20/21,124,48,0
8/21/21,125,26,0
8/22/21,126,3,0
8/23/21,127,60,0
8/24/21,128,79,2
8/25/21,129,71,0
8/26/21,130,51,1
8/27/21,131,31,0
8/28/21,132,27,0
8/29/21,133,29,1
8/30/21,134,66,0
8/31/21,135,50,0
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,